 num     #instances         #bytes  class name (module)
 280:            66           1800  [Ljavax.management.openmbean.OpenType; (java.management@11.0.1)
 281:            32           1792  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL (java.base@11.0.1)
 282:           112           1792  java.lang.reflect.ProxyGenerator$ConstantPool$ValueEntry (java.base@11.0.1)
 283:            54           1728  java.net.URI$Parser (java.base@11.0.1)
 284:            36           1728  java.util.logging.LogManager$LoggerWeakRef (java.logging@11.0.1)
 285:            54           1728  sun.net.www.protocol.jrt.JavaRuntimeURLConnection$1 (java.base@11.0.1)
 286:            70           1680  jdk.internal.module.SystemModuleFinders$2 (java.base@11.0.1)
 287:            70           1680  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@11.0.1)
 288:           104           1664  java.lang.management.ManagementFactory$PlatformMBeanFinder$$Lambda$57/0x0000000800168440 (java.management@11.0.1)
 289:           104           1664  java.lang.management.ManagementFactory$PlatformMBeanFinder$$Lambda$58/0x0000000800168840 (java.management@11.0.1)
 290:            52           1664  java.util.ImmutableCollections$ListItr (java.base@11.0.1)
 291:            52           1664  javax.management.MBeanParameterInfo (java.management@11.0.1)
 292:           104           1664  sun.management.spi.PlatformMBeanProvider$PlatformComponent$$Lambda$59/0x0000000800168c40 (java.management@11.0.1)
 293:           104           1664  sun.management.spi.PlatformMBeanProvider$PlatformComponent$$Lambda$60/0x0000000800169040 (java.management@11.0.1)
 294:           102           1632  [Ljava.nio.file.LinkOption; (java.base@11.0.1)
 295:            92           1632  [Lsun.reflect.generics.tree.TypeArgument; (java.base@11.0.1)
 296:            25           1600  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLL (java.base@11.0.1)
 297:            66           1584  java.lang.invoke.ConstantCallSite (java.base@11.0.1)
 298:            66           1584  java.lang.module.ModuleDescriptor$Provides (java.base@11.0.1)
 299:             1           1568  [[B (java.base@11.0.1)
 300:            28           1568  javax.management.MBeanServerNotification (java.management@11.0.1)
 301:            38           1520  java.io.FileInputStream (java.base@11.0.1)
 302:            47           1504  javax.management.ObjectName (java.management@11.0.1)
 303:            46           1472  java.util.LinkedHashMap$LinkedValueIterator (java.base@11.0.1)
 304:            61           1464  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@11.0.1)
 305:            60           1440  java.lang.module.ResolvedModule (java.base@11.0.1)
 306:            60           1440  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@11.0.1)
 307:            59           1416  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@11.0.1)
 308:            22           1408  java.lang.invoke.BoundMethodHandle$Species_LLLLLLII (java.base@11.0.1)
 309:            35           1400  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@11.0.1)
 310:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@11.0.1)
 311:            24           1344  co.paralleluniverse.asm.tree.TableSwitchInsnNode
 312:            42           1344  java.lang.Package (java.base@11.0.1)
 313:            15           1320  java.util.regex.Pattern (java.base@11.0.1)
 314:            22           1312  [Ljava.lang.reflect.Field; (java.base@11.0.1)
 315:            41           1312  com.sun.management.internal.DiagnosticCommandImpl$Wrapper (jdk.management@11.0.1)
 316:            54           1296  java.util.jar.Attributes$Name (java.base@11.0.1)
 317:            55           1232  [[Ljava.lang.annotation.Annotation; (java.base@11.0.1)
 318:            17           1224  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLIIL (java.base@11.0.1)
 319:            19           1216  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLL (java.base@11.0.1)
 320:            19           1216  java.util.jar.JarFile (java.base@11.0.1)
 321:            19           1216  java.util.zip.ZipFile$Source (java.base@11.0.1)
 322:            50           1200  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig (java.management@11.0.1)
 323:            38           1184  [Ljava.math.BigInteger; (java.base@11.0.1)
 324:            37           1184  org.sqlite.SQLiteConfig$Pragma
 325:             3           1176  co.paralleluniverse.fibers.FiberForkJoinScheduler$FiberWorkerThread
